11|"1 2 3 4 5 6 7 8 9 10 11"|"3nn"|64.8257
6|"1 2 3 4 5 6"|"5nn"|61.6569
1|"1"|"5nn"|45.7673
7|"1 2 3 4 5 6 7"|"5nn"|62.6981
2|"1 2"|"20nn"|45.4957
3|"1 2 3"|"20nn"|52.1956
4|"1 2 3 4"|"10nn"|60.4799
5|"1 2 3 4 5"|"10nn"|62.4717
9|"1 2 3 4 5 6 7 8 9"|"5nn"|64.373
8|"1 2 3 4 5 6 7 8"|"5nn"|62.8339
2|"1 2"|"25nn"|45.4957
10|"1 2 3 4 5 6 7 8 9 10"|"5nn"|65.0973
6|"1 2 3 4 5 6"|"10nn"|62.3359
7|"1 2 3 4 5 6 7"|"10nn"|63.196
11|"1 2 3 4 5 6 7 8 9 10 11"|"5nn"|66.1838
1|"1"|"10nn"|45.7673
3|"1 2 3"|"25nn"|52.5124
4|"1 2 3 4"|"20nn"|60.6157
2|"1 2"|"30nn"|45.6315
5|"1 2 3 4 5"|"20nn"|62.6075
8|"1 2 3 4 5 6 7 8"|"10nn"|64.1919
9|"1 2 3 4 5 6 7 8 9"|"10nn"|64.4183
3|"1 2 3"|"30nn"|52.603
6|"1 2 3 4 5 6"|"20nn"|62.9244
7|"1 2 3 4 5 6 7"|"20nn"|64.871
10|"1 2 3 4 5 6 7 8 9 10"|"10nn"|65.5953
4|"1 2 3 4"|"25nn"|60.0272
1|"1"|"20nn"|45.7673
2|"1 2"|"35nn"|45.6768
11|"1 2 3 4 5 6 7 8 9 10 11"|"10nn"|65.7311
5|"1 2 3 4 5"|"25nn"|62.3812
3|"1 2 3"|"35nn"|52.4219
8|"1 2 3 4 5 6 7 8"|"20nn"|64.6446
6|"1 2 3 4 5 6"|"25nn"|62.7433
4|"1 2 3 4"|"30nn"|59.2576
2|"1 2"|"40nn"|45.5862
9|"1 2 3 4 5 6 7 8 9"|"20nn"|65.4595
1|"1"|"25nn"|45.7673
7|"1 2 3 4 5 6 7"|"25nn"|65.3237
10|"1 2 3 4 5 6 7 8 9 10"|"20nn"|66.3196
3|"1 2 3"|"40nn"|52.7388
5|"1 2 3 4 5"|"30nn"|62.2001
11|"1 2 3 4 5 6 7 8 9 10 11"|"20nn"|66.7723
4|"1 2 3 4"|"35nn"|59.4387
6|"1 2 3 4 5 6"|"30nn"|63.3318
8|"1 2 3 4 5 6 7 8"|"25nn"|64.5088
2|"1 2"|"ann"|46.4916
9|"1 2 3 4 5 6 7 8 9"|"25nn"|65.9122
2|"1 3"|"j48"|48.3024
1|"1"|"30nn"|45.7673
2|"1 3"|"boosted j48"|48.3024
7|"1 2 3 4 5 6 7"|"30nn"|65.3689
5|"1 2 3 4 5"|"35nn"|62.7433
4|"1 2 3 4"|"40nn"|59.665
10|"1 2 3 4 5 6 7 8 9 10"|"25nn"|66.2743
11|"1 2 3 4 5 6 7 8 9 10 11"|"25nn"|67.2703
6|"1 2 3 4 5 6"|"35nn"|63.3771
2|"1 3"|"1nn"|47.0349
1|"1"|"35nn"|45.7673
8|"1 2 3 4 5 6 7 8"|"30nn"|65.0973
9|"1 2 3 4 5 6 7 8 9"|"30nn"|65.2331
7|"1 2 3 4 5 6 7"|"35nn"|65.6858
